PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene
14.64 ,25.52 ,3.67 ,16.75 ,20.42 ,5.30 ,0.29 ,1.36 ,33.27 ,1.53 ,1.46 
277.96 ,394.29 ,55.74 ,51.96 ,79.25 ,57.71 ,1.73 ,11.29 ,23.50 ,7.52 ,44.86 
251.90 ,389.01 ,211.97 ,60.28 ,228.70 ,48.68 ,3.49 ,12.97 ,32.77 ,11.87 ,121.80 
19.50 ,34.06 ,2.83 ,13.73 ,9.05 ,9.04 ,0.47 ,5.94 ,10.62 ,0.19 ,0.47 
60.50 ,121.94 ,40.20 ,55.36 ,100.30 ,30.23 ,1.31 ,25.29 ,104.73 ,1.47 ,9.23 
38.01 ,120.00 ,13.74 ,17.88 ,20.32 ,16.07 ,0.45 ,13.14 ,118.40 ,0.49 ,1.06 
13.25 ,49.00 ,2.15 ,5.55 ,4.70 ,8.30 ,0.31 ,23.35 ,59.80 ,0.78 ,5.72 
42.04 ,73.01 ,7.48 ,27.28 ,22.34 ,24.16 ,0.82 ,7.17 ,18.99 ,1.14 ,10.28 
37.47 ,79.96 ,6.54 ,23.71 ,22.98 ,16.25 ,0.63 ,4.93 ,52.19 ,0.35 ,1.37 
19.00 ,42.00 ,4.40 ,14.48 ,11.27 ,6.18 ,0.63 ,10.62 ,10.45 ,0.10 ,3.43 
31.91 ,70.38 ,18.70 ,9.50 ,20.79 ,43.22 ,0.78 ,8.98 ,7.43 ,6.09 ,0.22 
132.02 ,235.69 ,58.46 ,57.88 ,61.40 ,38.05 ,0.77 ,20.88 ,33.88 ,3.76 ,2.88 
79.76 ,126.16 ,14.18 ,31.48 ,10.62 ,51.85 ,0.49 ,5.94 ,35.35 ,0.02 ,0.77 
88.75 ,161.50 ,2.95 ,16.35 ,11.10 ,9.12 ,0.82 ,13.60 ,114.12 ,2.62 ,3.25 
110.68 ,242.48 ,13.61 ,47.84 ,47.78 ,34.36 ,7.32 ,10.42 ,69.34 ,1.70 ,5.83 
107.61 ,222.08 ,63.76 ,109.54 ,142.84 ,42.35 ,5.26 ,9.96 ,7.53 ,4.39 ,20.29 
15.96 ,53.95 ,9.54 ,11.90 ,14.61 ,21.97 ,0.71 ,6.19 ,13.64 ,0.21 ,2.62 
17.50 ,37.00 ,1.48 ,15.12 ,9.20 ,10.62 ,0.72 ,14.70 ,20.80 ,0.47 ,1.23 
37.04 ,86.04 ,33.50 ,37.81 ,191.45 ,24.12 ,1.27 ,10.94 ,35.74 ,1.12 ,2.79 
45.06 ,139.92 ,16.67 ,41.42 ,43.57 ,12.08 ,0.78 ,6.79 ,40.62 ,0.97 ,4.71 
73.59 ,95.03 ,1.04 ,2.88 ,1.12 ,2.83 ,0.30 ,5.72 ,43.34 ,451.97 ,452.84 
585.91 ,879.28 ,70.14 ,51.83 ,99.79 ,90.61 ,3.04 ,15.79 ,38.57 ,5.35 ,15.98 
14.00 ,57.00 ,2.00 ,7.60 ,5.65 ,12.95 ,0.49 ,11.77 ,25.50 ,0.15 ,0.10 
62.92 ,135.95 ,9.61 ,58.10 ,37.45 ,13.43 ,1.15 ,5.44 ,16.16 ,2.94 ,13.81 
19.50 ,89.00 ,25.00 ,47.35 ,41.72 ,14.38 ,1.26 ,15.70 ,25.77 ,6.07 ,10.35 
31.12 ,60.50 ,37.98 ,15.90 ,28.12 ,13.52 ,0.24 ,5.33 ,42.33 ,0.98 ,9.59 
44.22 ,92.29 ,2.48 ,19.79 ,10.75 ,23.08 ,0.36 ,2.35 ,19.82 ,1.05 ,0.20 
36.16 ,73.68 ,7.13 ,23.54 ,18.52 ,28.22 ,0.34 ,4.57 ,13.18 ,0.83 ,2.73 
17.57 ,68.28 ,22.30 ,13.59 ,26.05 ,22.12 ,0.83 ,8.80 ,13.32 ,0.64 ,3.49 
320.15 ,462.83 ,117.98 ,53.62 ,123.54 ,57.86 ,2.75 ,15.26 ,31.28 ,10.56 ,56.45 
70.11 ,119.05 ,22.13 ,23.99 ,46.12 ,12.85 ,0.92 ,4.14 ,41.28 ,5.41 ,1.44 
24.75 ,51.88 ,3.09 ,15.79 ,15.68 ,9.01 ,0.78 ,7.31 ,46.64 ,0.44 ,2.13 
27.22 ,66.24 ,38.01 ,30.47 ,54.42 ,24.64 ,1.27 ,7.68 ,3.99 ,0.98 ,3.23 
26.67 ,47.06 ,6.77 ,12.06 ,10.15 ,37.83 ,0.62 ,16.89 ,83.74 ,3.93 ,7.08 
131.75 ,220.00 ,3.12 ,35.80 ,21.58 ,20.38 ,0.10 ,19.00 ,129.87 ,0.40 ,7.00 
34.38 ,180.85 ,4.79 ,21.16 ,13.38 ,24.09 ,0.41 ,1.18 ,34.76 ,0.80 ,0.62 
22.00 ,40.58 ,3.26 ,16.22 ,5.63 ,5.55 ,0.18 ,5.53 ,23.58 ,0.67 ,2.49 
22.95 ,71.50 ,4.21 ,16.18 ,12.04 ,10.25 ,0.38 ,7.76 ,9.47 ,0.26 ,3.56 
47.61 ,125.47 ,17.84 ,14.64 ,30.06 ,11.27 ,0.78 ,21.93 ,43.77 ,1.30 ,1.10 
48.84 ,117.42 ,26.06 ,44.66 ,68.63 ,44.04 ,0.97 ,9.64 ,48.89 ,3.30 ,16.65 
14.44 ,24.82 ,1.95 ,10.57 ,10.06 ,14.06 ,0.89 ,6.64 ,60.29 ,0.18 ,1.84 
41.78 ,79.52 ,28.56 ,34.67 ,53.82 ,18.94 ,0.80 ,9.33 ,18.38 ,0.99 ,6.62 
47.82 ,120.84 ,10.59 ,50.24 ,49.90 ,11.99 ,1.32 ,7.11 ,22.94 ,0.60 ,1.80 
18.00 ,36.32 ,3.11 ,23.43 ,13.22 ,30.15 ,0.53 ,8.32 ,4.67 ,3.67 ,0.11 
10.65 ,23.69 ,6.37 ,36.00 ,23.51 ,8.65 ,0.18 ,3.68 ,7.98 ,0.52 ,8.60 
6.60 ,11.19 ,2.06 ,21.60 ,13.11 ,7.18 ,0.24 ,4.83 ,14.63 ,0.29 ,1.87 
19.50 ,37.25 ,11.80 ,38.25 ,27.42 ,11.22 ,1.15 ,17.23 ,35.65 ,3.95 ,6.05 
71.25 ,120.00 ,4.42 ,27.62 ,16.75 ,11.55 ,0.91 ,9.40 ,72.15 ,4.90 ,7.83 
26.73 ,83.71 ,5.62 ,32.37 ,33.12 ,28.33 ,0.87 ,10.76 ,81.67 ,1.00 ,28.80 
66.31 ,112.56 ,8.70 ,21.90 ,20.85 ,30.56 ,1.20 ,11.89 ,21.29 ,2.01 ,19.53 
52.66 ,158.95 ,11.88 ,39.24 ,43.30 ,18.92 ,0.91 ,8.67 ,31.23 ,0.86 ,5.65 
95.71 ,229.42 ,30.57 ,64.97 ,91.01 ,39.51 ,1.95 ,21.69 ,39.88 ,2.71 ,9.95 
23.79 ,62.79 ,8.10 ,33.31 ,30.54 ,25.08 ,0.82 ,11.48 ,32.06 ,0.65 ,2.69 
64.97 ,160.92 ,24.91 ,83.13 ,92.32 ,15.95 ,2.33 ,8.58 ,19.18 ,2.82 ,24.83 
189.09 ,317.96 ,49.24 ,55.12 ,74.15 ,44.84 ,2.14 ,14.44 ,19.08 ,5.06 ,32.20 
89.52 ,198.76 ,78.48 ,68.82 ,147.30 ,121.72 ,2.66 ,17.36 ,8.48 ,12.88 ,59.03 
43.58 ,118.00 ,26.45 ,24.85 ,26.76 ,19.02 ,0.72 ,8.73 ,78.85 ,2.92 ,10.76 
248.98 ,384.54 ,35.33 ,101.62 ,136.95 ,37.07 ,0.79 ,11.24 ,4.26 ,10.92 ,16.82 
21.90 ,56.38 ,0.93 ,13.15 ,6.27 ,6.42 ,0.25 ,3.38 ,14.58 ,0.26 ,2.04 
75.00 ,160.75 ,4.82 ,73.34 ,42.78 ,13.54 ,1.33 ,12.55 ,22.55 ,5.31 ,15.39 
75.67 ,116.60 ,5.56 ,36.55 ,23.85 ,27.07 ,0.82 ,5.15 ,37.23 ,1.74 ,7.47 
39.49 ,74.51 ,5.91 ,15.50 ,21.46 ,21.27 ,0.53 ,12.05 ,101.49 ,3.09 ,6.02 
72.07 ,138.73 ,9.11 ,37.18 ,32.87 ,19.11 ,0.75 ,9.36 ,43.52 ,1.97 ,10.06 
27.52 ,60.07 ,1.97 ,28.44 ,30.41 ,9.78 ,0.96 ,10.06 ,25.46 ,0.29 ,15.59 
44.38 ,51.41 ,8.24 ,5.01 ,13.25 ,3.87 ,1.62 ,9.88 ,7.01 ,0.01 ,0.07 
78.64 ,128.29 ,5.15 ,57.67 ,119.04 ,40.17 ,1.61 ,6.78 ,90.33 ,0.90 ,3.99 
51.83 ,87.40 ,7.59 ,42.04 ,39.29 ,25.06 ,0.84 ,13.64 ,47.90 ,0.42 ,4.36 
66.50 ,103.25 ,2.43 ,33.70 ,19.93 ,15.00 ,1.21 ,1.55 ,69.20 ,4.65 ,8.18 
28.58 ,63.67 ,8.65 ,24.15 ,27.10 ,29.63 ,0.85 ,10.56 ,43.06 ,3.74 ,5.22 
32.34 ,107.87 ,19.40 ,10.09 ,29.13 ,12.20 ,0.67 ,9.25 ,49.59 ,1.61 ,1.72 
437.68 ,605.74 ,133.85 ,61.36 ,155.92 ,65.78 ,3.44 ,13.45 ,37.06 ,12.83 ,100.90 
38.20 ,69.81 ,4.51 ,17.20 ,21.71 ,9.49 ,0.62 ,6.67 ,14.87 ,23.92 ,15.89 
24.13 ,74.59 ,12.17 ,31.35 ,28.30 ,39.26 ,0.96 ,8.81 ,34.40 ,1.21 ,28.51 
5.00 ,17.75 ,3.58 ,2.90 ,4.40 ,5.47 ,0.57 ,6.40 ,16.65 ,3.35 ,0.15 
20.22 ,51.22 ,3.77 ,26.99 ,22.15 ,5.88 ,0.75 ,6.78 ,14.75 ,0.86 ,2.29 
37.89 ,76.03 ,6.71 ,26.84 ,21.93 ,38.44 ,0.90 ,7.43 ,19.99 ,1.41 ,13.34 
54.14 ,161.17 ,21.92 ,24.85 ,38.58 ,14.58 ,0.96 ,6.81 ,60.40 ,0.24 ,3.06 
46.33 ,120.77 ,13.96 ,44.36 ,45.05 ,10.97 ,1.44 ,6.84 ,14.04 ,1.82 ,5.37 
61.20 ,136.51 ,10.95 ,31.62 ,27.71 ,28.54 ,0.71 ,14.21 ,64.62 ,1.81 ,16.41 
28.83 ,104.80 ,12.79 ,31.13 ,33.16 ,20.33 ,1.09 ,5.50 ,51.48 ,2.18 ,5.47 
47.06 ,98.92 ,5.58 ,28.71 ,26.40 ,14.55 ,0.98 ,7.70 ,56.04 ,1.06 ,15.05 
62.15 ,53.44 ,9.99 ,33.31 ,38.79 ,31.62 ,5.97 ,8.38 ,39.12 ,1.42 ,3.44 
33.75 ,54.25 ,1.98 ,6.53 ,5.05 ,9.57 ,0.59 ,6.75 ,23.67 ,1.27 ,2.25 
52.73 ,129.38 ,69.28 ,39.61 ,108.89 ,17.84 ,0.84 ,3.34 ,12.86 ,12.47 ,8.23 
43.85 ,135.90 ,8.72 ,32.64 ,26.35 ,35.74 ,0.84 ,17.51 ,52.46 ,1.99 ,14.39 
47.27 ,124.61 ,11.07 ,4.32 ,26.15 ,10.77 ,0.62 ,2.26 ,21.36 ,8.66 ,7.45 
11.38 ,23.66 ,4.73 ,9.02 ,12.70 ,9.84 ,0.29 ,3.18 ,17.86 ,19.17 ,13.57 
0.95 ,4.86 ,11.29 ,0.07 ,15.09 ,14.38 ,0.18 ,9.44 ,7.78 ,0.03 ,0.27 
69.50 ,267.00 ,35.22 ,38.60 ,75.98 ,45.81 ,0.95 ,13.29 ,72.98 ,2.94 ,4.27 
10.00 ,39.00 ,3.20 ,7.15 ,6.40 ,14.37 ,0.52 ,14.70 ,45.57 ,0.20 ,0.08 
81.07 ,182.94 ,123.21 ,30.92 ,114.63 ,33.63 ,2.00 ,15.53 ,18.90 ,7.12 ,83.12 
152.04 ,207.43 ,17.95 ,10.72 ,28.67 ,12.38 ,0.52 ,11.41 ,6.26 ,4.12 ,5.03 
18.48 ,59.86 ,16.68 ,18.72 ,28.75 ,13.27 ,0.87 ,6.69 ,16.93 ,0.25 ,1.06 
16.51 ,95.15 ,10.22 ,17.03 ,20.93 ,10.69 ,0.47 ,3.69 ,8.73 ,1.46 ,0.93 
21.30 ,39.64 ,11.84 ,21.17 ,20.68 ,23.71 ,0.78 ,10.96 ,17.50 ,1.30 ,18.09 
43.50 ,81.75 ,6.93 ,21.62 ,17.12 ,9.18 ,0.47 ,6.60 ,68.80 ,3.47 ,8.83 
78.98 ,135.04 ,10.11 ,56.77 ,66.88 ,53.70 ,0.68 ,6.58 ,6.30 ,1.00 ,4.07 
21.78 ,49.23 ,4.19 ,13.18 ,16.08 ,9.85 ,0.43 ,3.95 ,32.07 ,0.07 ,0.28 
58.25 ,154.25 ,17.95 ,123.47 ,80.27 ,10.35 ,0.11 ,7.60 ,15.72 ,5.65 ,23.82 
47.22 ,49.17 ,5.02 ,22.33 ,20.46 ,11.00 ,0.68 ,3.73 ,31.29 ,0.47 ,1.68 
8.23 ,18.40 ,5.60 ,13.18 ,18.78 ,10.06 ,0.30 ,3.98 ,13.19 ,21.25 ,22.15 
15.63 ,38.16 ,5.23 ,11.60 ,16.84 ,18.64 ,0.31 ,11.06 ,27.21 ,0.33 ,1.65 
42.85 ,55.70 ,7.11 ,39.18 ,38.66 ,15.02 ,1.28 ,4.36 ,33.35 ,0.40 ,1.34 
57.88 ,130.25 ,3.00 ,11.08 ,8.35 ,9.75 ,0.47 ,5.62 ,113.60 ,2.57 ,10.05 
79.50 ,255.55 ,13.10 ,39.89 ,33.06 ,26.54 ,0.93 ,18.58 ,31.24 ,2.61 ,24.56 
78.83 ,123.59 ,12.26 ,36.50 ,32.47 ,29.23 ,0.82 ,15.71 ,28.39 ,2.11 ,12.16 
7.65 ,13.85 ,6.30 ,13.72 ,20.02 ,9.21 ,0.32 ,2.97 ,11.70 ,26.88 ,21.12 
45.50 ,104.75 ,1.90 ,53.75 ,29.03 ,7.88 ,0.48 ,8.68 ,5.17 ,7.02 ,22.15 
22.63 ,54.36 ,5.83 ,29.00 ,20.35 ,23.18 ,0.24 ,5.22 ,7.59 ,0.50 ,0.50 
98.78 ,226.90 ,29.84 ,40.69 ,49.57 ,35.35 ,0.83 ,20.25 ,32.90 ,2.73 ,16.28 
126.64 ,274.99 ,3.98 ,32.78 ,29.64 ,33.03 ,1.07 ,13.61 ,83.42 ,2.79 ,6.18 
28.46 ,82.30 ,2.24 ,32.88 ,19.25 ,9.97 ,0.82 ,4.80 ,31.35 ,0.72 ,3.44 
63.38 ,120.75 ,2.81 ,8.44 ,9.86 ,10.88 ,0.70 ,1.10 ,42.64 ,0.37 ,4.50 
10.61 ,12.04 ,4.22 ,21.03 ,25.25 ,5.51 ,0.63 ,1.56 ,20.79 ,0.85 ,9.57 
62.12 ,117.25 ,5.85 ,25.02 ,17.17 ,13.49 ,0.44 ,4.62 ,55.54 ,0.36 ,2.86 
57.92 ,121.32 ,22.33 ,137.14 ,152.48 ,27.35 ,1.87 ,22.34 ,95.25 ,2.83 ,9.48 
29.50 ,58.75 ,16.38 ,45.17 ,37.30 ,3.20 ,1.30 ,5.00 ,14.38 ,5.10 ,11.82 
42.90 ,76.38 ,18.30 ,4.28 ,16.64 ,6.90 ,0.54 ,8.92 ,7.60 ,4.87 ,2.02 
130.07 ,314.74 ,96.79 ,37.74 ,111.19 ,17.82 ,2.06 ,14.35 ,12.39 ,5.39 ,14.80 
74.46 ,102.35 ,4.64 ,31.50 ,20.40 ,20.38 ,0.52 ,12.30 ,20.08 ,3.77 ,30.22 
60.57 ,151.78 ,11.16 ,18.82 ,22.59 ,28.52 ,0.93 ,25.31 ,46.81 ,2.18 ,9.84 
132.36 ,466.09 ,11.95 ,27.65 ,35.12 ,36.99 ,0.83 ,8.01 ,41.64 ,3.36 ,7.56 
24.47 ,59.69 ,5.73 ,16.13 ,19.84 ,13.06 ,0.58 ,9.27 ,12.97 ,3.55 ,3.25 
22.57 ,54.80 ,12.84 ,33.53 ,37.41 ,13.29 ,0.76 ,6.35 ,43.90 ,0.73 ,38.07 
154.50 ,351.00 ,49.43 ,104.60 ,95.83 ,26.22 ,1.77 ,21.00 ,5.75 ,6.57 ,8.70 
31.49 ,72.83 ,14.23 ,42.68 ,33.51 ,31.85 ,0.58 ,5.33 ,5.38 ,0.93 ,0.94 
83.66 ,241.00 ,165.91 ,55.76 ,191.71 ,28.63 ,4.65 ,11.64 ,4.50 ,5.12 ,13.26 
26.18 ,21.90 ,2.38 ,15.84 ,7.48 ,24.02 ,0.71 ,4.17 ,4.53 ,0.63 ,0.72 
56.71 ,106.65 ,1.12 ,30.96 ,17.26 ,8.49 ,0.50 ,13.48 ,73.76 ,1.07 ,14.15 
153.42 ,282.08 ,32.44 ,63.83 ,31.96 ,58.29 ,2.16 ,29.54 ,20.15 ,0.89 ,4.33 
36.25 ,72.35 ,0.99 ,32.26 ,17.91 ,11.62 ,0.39 ,10.01 ,62.33 ,1.12 ,13.41 
52.25 ,86.00 ,1.47 ,29.95 ,17.12 ,9.82 ,0.42 ,6.25 ,37.90 ,2.22 ,3.12 
50.46 ,100.88 ,17.98 ,54.03 ,43.35 ,12.65 ,0.94 ,25.28 ,45.75 ,4.30 ,18.42 
41.04 ,62.68 ,4.27 ,48.86 ,53.11 ,33.75 ,0.56 ,9.48 ,33.94 ,3.76 ,12.02 
230.19 ,499.46 ,52.23 ,93.11 ,138.08 ,39.94 ,1.68 ,43.56 ,19.72 ,6.01 ,14.66 
93.12 ,221.58 ,62.52 ,89.25 ,48.95 ,45.36 ,0.46 ,49.69 ,11.62 ,3.06 ,4.83 
53.94 ,101.01 ,5.61 ,37.59 ,43.19 ,5.19 ,0.72 ,1.70 ,9.26 ,12.13 ,9.32 
136.52 ,267.07 ,71.95 ,67.68 ,100.69 ,39.37 ,2.02 ,15.87 ,21.44 ,5.66 ,51.84 
68.75 ,108.50 ,1.67 ,20.78 ,12.38 ,13.00 ,0.75 ,9.45 ,91.75 ,2.98 ,5.93 
39.00 ,105.00 ,8.08 ,34.85 ,25.07 ,8.35 ,0.26 ,7.85 ,4.30 ,4.12 ,8.70 
31.73 ,151.96 ,4.76 ,17.81 ,10.26 ,5.84 ,1.34 ,6.53 ,82.65 ,5.06 ,3.44 
79.56 ,109.87 ,7.70 ,9.12 ,16.82 ,10.11 ,0.34 ,10.04 ,40.20 ,3.63 ,1.15 
193.27 ,296.60 ,58.01 ,55.00 ,80.71 ,57.62 ,1.62 ,14.11 ,22.36 ,5.69 ,22.25 
92.08 ,264.36 ,134.70 ,81.14 ,97.43 ,52.55 ,1.21 ,19.95 ,24.99 ,4.98 ,12.90 
128.75 ,207.01 ,24.55 ,40.46 ,44.81 ,36.68 ,1.02 ,18.87 ,21.15 ,3.20 ,10.38 
13.29 ,31.17 ,12.21 ,9.21 ,11.01 ,35.05 ,1.50 ,2.92 ,22.29 ,0.12 ,0.10 
37.25 ,78.50 ,4.64 ,15.85 ,4.89 ,16.33 ,0.12 ,11.82 ,49.58 ,0.07 ,1.11 
53.05 ,129.48 ,6.22 ,29.33 ,23.59 ,38.31 ,0.76 ,9.85 ,62.77 ,1.78 ,25.03 
52.66 ,112.57 ,3.01 ,7.66 ,9.90 ,4.58 ,0.42 ,1.84 ,27.72 ,0.64 ,3.78 
31.61 ,49.35 ,3.39 ,24.17 ,3.10 ,42.67 ,0.60 ,2.69 ,22.87 ,1.38 ,0.22 
25.75 ,127.00 ,1.30 ,32.60 ,18.40 ,20.55 ,0.82 ,7.50 ,41.10 ,3.25 ,8.57 
128.16 ,107.83 ,15.75 ,40.27 ,49.98 ,23.85 ,1.10 ,5.27 ,62.90 ,1.32 ,11.74 
33.25 ,58.00 ,3.92 ,33.62 ,21.10 ,5.60 ,0.60 ,17.28 ,23.65 ,0.10 ,2.45 
128.04 ,288.16 ,3.54 ,10.53 ,14.07 ,1.08 ,0.73 ,3.15 ,43.76 ,2.93 ,9.29 
31.53 ,94.30 ,5.58 ,28.43 ,21.77 ,24.17 ,8.79 ,4.07 ,44.55 ,1.57 ,0.92 
45.75 ,135.25 ,2.18 ,23.30 ,14.12 ,8.55 ,0.93 ,6.55 ,38.88 ,3.70 ,6.30 
73.05 ,431.50 ,29.42 ,44.33 ,62.77 ,33.58 ,9.31 ,9.24 ,84.90 ,1.04 ,1.86 
77.72 ,296.49 ,9.73 ,29.92 ,37.27 ,45.32 ,0.97 ,6.05 ,72.17 ,2.35 ,3.02 
10.03 ,18.47 ,11.86 ,0.75 ,16.47 ,23.11 ,0.37 ,7.45 ,8.46 ,0.08 ,1.21 
18.14 ,39.98 ,3.64 ,7.57 ,11.27 ,9.71 ,0.33 ,6.03 ,27.21 ,1.38 ,13.95 
95.00 ,151.00 ,3.40 ,32.95 ,20.35 ,18.85 ,1.10 ,12.35 ,99.00 ,3.37 ,4.60 
73.33 ,148.92 ,13.65 ,46.23 ,46.33 ,15.90 ,1.23 ,4.88 ,53.63 ,3.46 ,9.49 
24.08 ,54.82 ,5.91 ,14.84 ,18.62 ,6.33 ,0.67 ,7.14 ,7.88 ,0.27 ,0.88 
49.34 ,123.91 ,65.27 ,46.83 ,94.44 ,153.36 ,0.65 ,155.71 ,35.97 ,3.92 ,2.19 
54.09 ,98.55 ,3.77 ,26.56 ,30.33 ,7.23 ,1.07 ,14.49 ,39.39 ,0.64 ,10.65 
14.10 ,30.38 ,4.66 ,18.78 ,18.73 ,15.69 ,0.81 ,4.18 ,38.54 ,0.39 ,1.18 
12.01 ,22.01 ,3.13 ,11.28 ,13.18 ,8.85 ,0.60 ,5.37 ,21.91 ,0.17 ,3.78 
8.33 ,26.60 ,5.18 ,55.69 ,60.87 ,15.02 ,0.49 ,0.94 ,9.51 ,1.57 ,3.03 
67.50 ,119.50 ,1.07 ,47.10 ,25.75 ,10.75 ,1.16 ,4.87 ,79.12 ,3.43 ,5.12 
5.93 ,10.39 ,0.96 ,2.59 ,0.97 ,2.75 ,0.14 ,7.89 ,40.51 ,452.25 ,452.25 
12.62 ,38.73 ,13.40 ,10.66 ,24.06 ,9.25 ,0.57 ,9.24 ,16.02 ,1.67 ,1.10 
14.81 ,44.83 ,13.01 ,11.69 ,17.14 ,27.22 ,0.84 ,7.20 ,7.30 ,0.40 ,1.29 
110.28 ,216.15 ,8.71 ,33.54 ,42.24 ,26.22 ,1.07 ,5.28 ,17.19 ,27.96 ,36.89 
33.07 ,55.05 ,8.05 ,21.97 ,20.97 ,37.28 ,0.76 ,10.46 ,42.90 ,1.22 ,21.28 
58.12 ,120.65 ,1.49 ,32.96 ,18.46 ,11.81 ,0.68 ,10.40 ,68.26 ,1.86 ,13.56 
5.75 ,20.50 ,4.03 ,17.95 ,12.83 ,9.07 ,0.11 ,0.92 ,15.95 ,0.47 ,2.32 
6.95 ,7.94 ,2.96 ,2.40 ,1.84 ,1.94 ,1.96 ,2.66 ,33.81 ,0.16 ,0.61 
27.93 ,32.61 ,7.68 ,14.69 ,22.37 ,5.19 ,0.55 ,10.69 ,9.71 ,0.01 ,0.07 
